doesn't_answer	0	1	2
cannot_wait_for	0	1	1
immut	0	1	1
cannot_refus	0	1	1
ineffect_for_solv	0	1	2
will_not_believ	0	1	2
cannot_stand_on	0	1	1
no_witch-hunt	0	1	2
have_backpedal	0	1	1
defi_logic	0	1	1
warn_jointli	0	1	2
cannot_keep	0	1	2
have_decid_that	0	1	1
refus_to_recogn	0	1	4
we_don't_minim	0	1	1
given_the_degre	0	1	1
will_not_suffer	0	1	1
but_separ_will	0	1	1
have_a_convict	0	1	1
will_not_need	0	1	1
but_we_all	0	1	1
have_no_spirit	0	1	2
strongli_advis_against	0	1	1
cannot_be_ani	0	1	1
never_again_shall	0	1	1
let'_quit_bsing	0	1	1
be_rapidli_absorb	0	1	1
our_conscienc	0	1	2
if_the_gang	0	1	1
sinc_the_fox	0	1	1
be_irrevers	0	1	1
be_immedi	0	1	1
cannot_assum_that	0	1	1
rather_than_challeng	0	1	1
fail_to_reach	0	1	2
you_probabl	0	1	1
cannot_accept_it	0	1	2
if_howev_us	0	1	2
challeng_and_issu	0	1	1
need_no_revis	0	1	2
stanc_oppos	0	1	1
the_onli_problem	0	1	1
would_not_need	0	1	1
haven't_said	0	1	1
don't_bother_canvass	0	1	1
lack_credibl_and	0	1	2
our_conscienc_ought	0	1	2
without_arm	0	1	1
no_doubl_standard	0	1	1
let_not	0	1	2
be_unfound	0	1	1
don't_myself_imagin	0	1	1
conclud_that_nasa'	0	1	1
the_massiv_particip	0	1	2
be_rapidli	0	1	1
not_the_other	0	1	1
although_the_white	0	1	1
will_not_admit	0	1	1
the_unbeliev	0	1	1
isn't_exactli	0	1	1
do_not_necessarili	0	1	2
warn_jointli_thursdai	0	1	2
term_inaccur	0	1	2
intens_legal_wrangl	0	1	2
don't_myself	0	1	1
do_not_accept	0	1	2
there_realli	0	1	1
deni_there_be	0	1	1
wouldn't_be_fair	0	1	2
on_cannot_be	0	1	1
refus_to_respect	0	1	1
without_arm_violenc	0	1	1
do_not_entitl	0	1	1
cannot_plai_ani	0	1	1
would_never_readili	0	1	2
have_margin_their	0	1	1
issu_a_letter	0	1	1
clearli_didn't_work	0	1	1
view_to_the	0	1	2
emphas_that_for	0	1	4
would_not_blunt	0	1	1
rather_than_issu	0	1	1
be_no_easi	0	1	1
cannot_keep_the	0	1	2
life_without_chang	0	1	2
do_not_of	0	1	1
do_not_in	0	1	1
despit_the_horror	0	1	2
the_real_victor	0	1	1
have_deni_taleban	0	1	1
which_clearli_have	0	1	2
think_that_no	0	1	1
certainli_not_a	0	1	2
nor_will_the	0	1	1
have_not_succeed	0	1	1
nor_even_the	0	1	1
lack_of_altern	0	1	1
consid_that_south	0	1	2
be_not_islam	0	1	1
cannot_plai	0	1	1
have_also_strongli	0	1	1
recommend_against	0	1	1
no_actual	0	1	1
cannot_refus_offer	0	1	1
no_doubl	0	1	1
don't_mean_that'	0	1	1
until_all	0	1	1
have_neither_the	0	1	1
conclus_believ	0	1	2
be_better_spent	0	1	1
it_just_cannot	0	1	2
will_not_agre	0	1	1
believ_be_unlik	0	1	2
can't_be_though	0	1	1
be_term_as	0	1	2
clearli_didn't	0	1	1
doesn't_answer_the	0	1	2
could_howev_not	0	1	2
have_disagre_with	0	1	2
and_neither	0	1	1
definit_cannot	0	1	1
deni_there	0	1	1
be_not_therefor	0	1	2
we_wouldn't	0	1	1
explicitli_stipul_that	0	1	1
cannot_command	0	1	1
have_margin	0	1	1
judg_by_it	0	1	1
definit_cannot_be	0	1	1
no_peac_will	0	1	2
nor_even	0	1	1
realli_oh_i	0	1	1
not_my_problem	0	1	1
cannot_sai_it	0	1	1
should_not_toler	0	1	1
no_witch-hunt_will	0	1	2
ineffect_for	0	1	2
be_turn_down	0	1	1
solut_to_difficult	0	1	1
cannot_last_long	0	1	1
let'_quit	0	1	1
they'r_never_go	0	1	1
the_unbeliev_provoc	0	1	1
be_immedi_contest	0	1	1
don't_push_the	0	1	2
disbeliev_press	0	1	2
it_almost_do	0	1	1
have_plai_down	0	1	1
the_mexican_economi	0	1	1
the_claim_that	0	1	2
even_if_iraq	0	1	1
not_my	0	1	1
a_row_over	0	1	1
